"","Kingdom","Phylum","Class","Order","Lineage","Clade","Tribe"
"465756","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","unclassified"
"649742","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"621721","k__Bacteria","p__Acidobacteria","c__Solibacteres","o__Solibacterales","f__Solibacteraceae","g__CandidatusSolibacter","s__"
"467489","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__","g__","s__"
"650525","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","unclassified","unclassified"
"650906","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"611094","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Intrasporangiaceae","g__Phycicoccus","s__"
"659567","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Polaromonas","s__"
"637145","k__Bacteria","p__Proteobacteria","c__TA18","o__PHOS-HD29","f__","g__","s__"
"650443","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"540441","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"550312","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__","s__"
"648588","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"469991","k__Bacteria","p__Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"657401","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","unclassified","unclassified","unclassified"
"571372","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"363399","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__Chthoniobacter","s__"
"539255","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophorhabdaceae","g__","s__"
"658291","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Asticcacaulis","s__"
"649488","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"650381","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","unclassified"
"659663","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","verI-A","Xip-A1","unclassified"
"659612","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","acV","acV-A","acV-A1"
"649653","k__Bacteria","p__Elusimicrobia","c__Elusimicrobia","o__Elusimicrobiales","unclassified","unclassified","unclassified"
"427204","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__","g__","s__"
"656448","k__Bacteria","p__Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"622064","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","unclassified","unclassified","unclassified"
"657315","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__BPC076","f__","g__","s__"
"642558","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__Hymenobacter","s__"
"642165","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Bdellovibrionales","f__Bdellovibrionaceae","g__Bdellovibrio","s__"
"559789","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Coxiellaceae","g__","s__"
"654945","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","unclassified","unclassified"
"640117","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"536467","k__Bacteria","p__Chlamydiae","c__Chlamydiia","o__Chlamydiales","f__","g__","s__"
"655720","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","g__Sediminibacterium","s__"
"486596","k__Bacteria","p__Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"613610","k__Bacteria","p__OD1","unclassified","unclassified","unclassified","unclassified","unclassified"
"627032","unknown","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"650338","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__bowmanii"
"660316","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"649776","k__Bacteria","p__TM6","c__SBRH58","o__","f__","g__","s__"
"523325","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"493877","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__MIZ46","f__","g__","s__"
