"","s.1","s.2","s.3","s.4","s.5","s.6","index","stat","p.value"
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia",1,0,0,0,1,1,31,0.229180706176729,0.1514
"k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae]",0,0,0,1,1,0,19,0.348111883893853,0.0087
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Crenotrichaceae",0,0,0,0,0,1,6,0.830990755798743,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI",1,1,0,0,0,1,25,0.542120918588628,1e-04
"k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__auto67_4W",0,0,1,1,1,0,38,0.530198888146654,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI",0,0,0,0,0,1,6,0.508126541340651,2e-04
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae",0,0,0,1,1,0,19,0.352709545526829,0.0062
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae",1,1,1,1,1,0,57,0.393161527475454,0.0026
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;alfIII",0,0,1,1,1,1,56,0.239096266486048,0.1258
"k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae",0,1,1,1,1,0,52,0.688686237117877,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae",1,0,0,0,0,0,1,0.574179871229653,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;alfI",1,0,0,0,0,1,11,0.558135602910015,1e-04
"k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales;f__Victivallaceae",0,0,1,1,1,0,38,0.434188784131088,5e-04
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae",0,0,1,1,1,0,38,0.361130853513745,0.0065
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;gamI",0,0,0,0,0,1,6,0.747804863946863,1e-04
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae",0,0,1,1,1,0,38,0.53515560039263,1e-04
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae",0,0,0,0,1,1,21,0.494338783175109,3e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae",0,0,0,0,0,1,6,0.750098807410984,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae",0,0,1,1,0,0,16,0.289070557898401,0.04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae",0,0,0,1,0,0,4,0.244716830443268,0.0941
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betII",1,1,0,0,0,1,25,0.437217998420969,3e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae",1,0,0,0,0,1,11,0.228866116726524,0.1743
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betIII",0,1,1,0,0,0,12,0.341247577143185,0.0082
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae",0,0,0,1,1,0,19,0.459775381275265,5e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae",0,0,0,0,0,1,6,0.660283049464488,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae",1,0,1,0,0,1,28,0.190057554258772,0.3609
"k__Bacteria;p__Spirochaetes;c__[Leptospirae];o__[Leptospirales];f__Sediment-4",0,0,0,1,1,0,19,0.27590671089765,0.05
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae",0,1,1,1,1,0,52,0.369387126237679,0.0052
"k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae",0,1,1,1,1,0,52,0.467771999320825,4e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI",1,1,0,0,0,1,25,0.540663418903291,1e-04
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae",0,0,0,0,1,0,5,0.428619824402771,0.0013
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;gamIII",0,0,0,1,0,0,4,0.249081598608685,0.0821
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;alfIV",0,0,0,0,0,1,6,0.671416307079389,1e-04
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae",0,1,1,1,0,0,32,0.452848164610898,8e-04
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae",0,0,1,1,0,0,16,0.264814408519842,0.0657
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae",0,1,1,0,1,1,54,0.305645243787621,0.0245
"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae",1,1,1,1,0,1,58,0.128088866788518,0.7852
"k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Cerasicoccales];f__[Cerasicoccaceae]",0,0,0,0,1,0,5,0.309416764333883,0.0194
"k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae",0,0,0,0,1,0,5,0.423182038414481,9e-04
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae",0,1,1,0,0,0,12,0.310372729286139,0.0208
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae",0,0,0,0,0,1,6,0.467499308063912,3e-04
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae",0,1,1,1,1,0,52,0.27787363128616,0.0517
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae",1,0,0,0,0,0,1,0.288514120825125,0.0383
"k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae",0,0,0,1,1,0,19,0.423136368726028,7e-04
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae",1,1,0,0,1,0,24,0.219924032572432,0.1963
"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;bacVI",0,1,1,1,1,0,52,0.260390053701086,0.0745
"k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__Ellin515",0,0,1,1,1,0,38,0.621248926533312,1e-04
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae",0,0,0,1,0,0,4,0.380731291688831,0.0038
"k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae",0,0,0,1,1,0,19,0.185519676210585,0.3752
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;bacII",1,0,0,0,0,0,1,0.686160179480748,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae",0,1,1,1,0,0,32,0.393029026426012,0.0023
