OTU,Taxonomy
Otu0148,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0149,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0150,k__Bacteria(100);p__Proteobacteria(98);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0151,k__Bacteria(100);p__Proteobacteria(99);c__Alphaproteobacteria(91);unclassified;unclassified;unclassified;unclassified;
Otu0152,k__Bacteria(100);p__Spirochaetes(74);c__Spirochaetes(74);o__Spirochaetales(74);f__Spirochaetaceae(74);g__Treponema(68);s__phagedenis(68);
Otu0153,k__Bacteria(100);p__Proteobacteria(68);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0154,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0155,k__Bacteria(100);p__Proteobacteria(99);c__Gammaproteobacteria(96);unclassified;unclassified;unclassified;unclassified;
Otu0156,k__Bacteria(100);p__Firmicutes(79);c__Clostridia(72);o__Clostridiales(70);unclassified;unclassified;unclassified;
Otu0157,k__Bacteria(100);p__Bacteroidetes(100);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0158,k__Bacteria(100);p__Proteobacteria(93);c__Gammaproteobacteria(79);unclassified;unclassified;unclassified;unclassified;
Otu0159,k__Bacteria(100);p__Spirochaetes(97);c__[Leptospirae](97);o__[Leptospirales](97);f__Sediment-4(97);g__SJA-88(97);s__(97);
Otu0160,k__Bacteria(100);p__Proteobacteria(83);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0161,k__Bacteria(100);p__Proteobacteria(95);c__Gammaproteobacteria(86);unclassified;unclassified;unclassified;unclassified;
Otu0162,k__Bacteria(100);p__Cyanobacteria(90);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0163,k__Bacteria(100);p__Acidobacteria(100);c__Solibacteres(100);o__Solibacterales(100);f__Solibacteraceae(96);g__CandidatusSolibacter(93);s__(93);
