,Kingdom,Phylum,Class,Order,Lineage,Clade,Tribe
Otu0760,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0761,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0762,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0763,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0764,k__Bacteria,p__OP3,c__BD4-9,o__,f__,g__,s__
Otu0765,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0766,k__Bacteria,p__TM6,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0767,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,unclassified,unclassified
Otu0768,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0769,k__Bacteria,p__Firmicutes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0770,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0771,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0772,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0773,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,unclassified,unclassified,unclassified
Otu0774,k__Bacteria,p__Chloroflexi,c__Anaerolineae,unclassified,unclassified,unclassified,unclassified
Otu0775,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0776,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0777,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0778,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0779,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0780,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__CandidatusSolibacter,s__
Otu0781,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__,s__
Otu0782,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0783,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,unclassified,unclassified,unclassified
Otu0784,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__bacteriovorus
Otu0785,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0786,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0787,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0788,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0789,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__
Otu0790,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0791,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0792,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0793,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__
Otu0794,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0795,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
Otu0796,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0797,k__Bacteria,p__Bacteroidetes,c__Sphingobacteria,o__Sphingobacteriales,bacIII,bacIII-A,unclassified
Otu0798,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__,g__,s__
Otu0799,k__Bacteria,p__Cyanobacteria,c__4C0d-2,o__YS2,f__,g__,s__
Otu0800,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__u114,s__
Otu0801,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0802,k__Bacteria,p__Verrucomicrobia,c__[Methylacidiphilae],o__Methylacidiphilales,f__,g__,s__
Otu0803,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0804,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
Otu0805,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0806,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu0807,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
Otu0808,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,unclassified
Otu0809,k__Bacteria,p__Acidobacteria,c__BPC102,o__MVS-40,f__,g__,s__
Otu0810,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],f__auto67_4W,g__,s__
Otu0811,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__Aquicella,s__
Otu0812,k__Bacteria,p__Cyanobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0813,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,acI,acI-B,acI-B2
Otu0814,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Spirobacillales,f__,g__,s__
Otu0815,k__Bacteria,p__TM6,c__SBRH58,o__,f__,g__,s__
Otu0816,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,unclassified,unclassified
Otu0817,k__Bacteria,p__OP8,c__OP8_2,o__,f__,g__,s__
Otu0818,k__Bacteria,p__Cyanobacteria,c__4C0d-2,o__YS2,f__,g__,s__
Otu0819,k__Bacteria,p__TM6,c__F38,o__,f__,g__,s__
Otu0820,k__Bacteria,p__Cyanobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0821,k__Bacteria,p__Cyanobacteria,c__4C0d-2,o__MLE1-12,f__,g__,s__
Otu0822,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,unclassified,unclassified,unclassified
Otu0823,k__Bacteria,p__TM7,c__SC3,o__,f__,g__,s__
Otu0824,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Marinobacter,s__bryozoorum
Otu0825,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0826,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,gamII,gamII-A,gamII-A1
Otu0827,k__Bacteria,p__Armatimonadetes,c__[Fimbriimonadia],o__[Fimbriimonadales],f__[Fimbriimonadaceae],g__Fimbriimonas,s__
Otu0828,k__Bacteria,p__OP3,c__BD4-9,o__,f__,g__,s__
Otu0829,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ethanoligenens,s__
Otu0830,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__CandidatusSolibacter,s__
Otu0831,k__Bacteria,p__Verrucomicrobia,c__Opitutae,o__Opitutales,f__Opitutaceae,g__Opitutus,s__
Otu0832,k__Bacteria,p__Verrucomicrobia,c__Opitutae,o__Opitutales,f__Opitutaceae,g__Opitutus,s__
Otu0833,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0834,k__Bacteria,p__Verrucomicrobia,c__Opitutae,unclassified,unclassified,unclassified,unclassified
Otu0835,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,unclassified,unclassified
Otu0836,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0837,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0838,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomicrobium,s__buryatense
Otu0839,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0840,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o_Burkholderiales,unclassified,unclassified,unclassified
Otu0841,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0842,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],f__Ellin515,g__,s__
Otu0843,k__Bacteria,p__Firmicutes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0844,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,betI,betI-A,Lhab-A1
Otu0845,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__,g__,s__
Otu0846,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,unclassified,unclassified
Otu0847,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0848,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__MVS-65,g__,s__
Otu0849,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__OM27,g__,s__
Otu0850,k__Bacteria,p__Cyanobacteria,c__Synechococcophycideae,o__Synechococcales,f__Synechococcaceae,g__Synechococcus,s__
Otu0851,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,unclassified,unclassified,unclassified
Otu0852,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0853,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,g__Parachlamydia,s__acanthamoebae
Otu0854,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,unclassified,unclassified
Otu0855,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,unclassified,unclassified
Otu0856,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0857,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],unclassified,unclassified,unclassified
Otu0858,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,unclassified,unclassified
Otu0859,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0860,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,unclassified,unclassified
Otu0861,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0862,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,unclassified,unclassified
Otu0863,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0864,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0865,k__Bacteria,p__TM7,c__SC3,o__,f__,g__,s__
Otu0866,k__Bacteria,p__TM7,c__TM7-1,o__,f__,g__,s__
Otu0867,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0868,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu0869,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0870,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0871,k__Bacteria,p__Lentisphaerae,c__[Lentisphaeria],o__Z20,f__,g__,s__
Otu0872,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Oxalobacter,s__
Otu0873,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0874,k__Bacteria,p__Bacteroidetes,c__Sphingobacteria,o__Sphingobacteriales,bacI,unclassified,unclassified
Otu0875,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0876,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophaceae,g__Syntrophus,s__
Otu0877,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,unclassified,unclassified,unclassified
Otu0878,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0879,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],f__auto67_4W,g__,s__
Otu0880,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0881,k__Bacteria,p__Bacteroidetes,c__Sphingobacteria,o__Sphingobacteriales,bacI,bacI-A,bacI-A2
Otu0882,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0883,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0884,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,unclassified,unclassified,unclassified
Otu0885,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,s__pneumophila
Otu0886,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0887,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0888,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0889,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0890,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0891,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0892,k__Bacteria,p__Verrucomicrobia,c__[Methylacidiphilae],unclassified,unclassified,unclassified,unclassified
Otu0893,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0894,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0895,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__CandidatusXiphinematobacter,s__
Otu0896,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__,s__
Otu0897,k__Bacteria,p__Cyanobacteria,c__4C0d-2,o__YS2,f__,g__,s__
Otu0898,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,unclassified,unclassified,unclassified,unclassified
Otu0899,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0900,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0901,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,unclassified,unclassified
Otu0902,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0903,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0904,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],unclassified,unclassified
Otu0905,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0906,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0907,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu0908,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__
Otu0909,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0910,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__CandidatusSolibacter,s__
Otu0911,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0912,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__0319-6G20,g__,s__
Otu0913,k__Bacteria,p__OD1,c__ABY1,o__,f__,g__,s__
Otu0914,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__Rickettsia,s__
Otu0915,k__Bacteria,p__OP3,c__BD4-9,o__,f__,g__,s__
Otu0916,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0917,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
Otu0918,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],f__auto67_4W,g__,s__
Otu0919,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,unclassified,unclassified,unclassified
Otu0920,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,alfVIII,unclassified,unclassified,unclassified
Otu0921,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0922,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,unclassified,unclassified
Otu0923,k__Bacteria,p__Bacteroidetes,c__Sphingobacteria,o__Sphingobacteriales,bacI,bacI-A,bacI-A1
Otu0924,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0925,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Elusimicrobiales,f__,g__,s__
Otu0926,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,unclassified,unclassified,unclassified
Otu0927,k__Bacteria,p__OP3,c__BD4-9,o__,f__,g__,s__
Otu0928,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,acI,acI-A,acI-A4
Otu0929,k__Bacteria,p__Chlorobi,c__SJA-28,o__,f__,g__,s__
Otu0930,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__GW-28,f__,g__,s__
Otu0931,k__Bacteria,p__Verrucomicrobia,c__Opitutae,o__Opitutales,f__Opitutaceae,g__Opitutus,s__
Otu0932,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0933,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,unclassified,unclassified,unclassified
Otu0934,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Acidobacterium,s__
Otu0935,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0936,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0937,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0938,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0939,k__Bacteria,p__Cyanobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0940,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0941,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__heteroC45_4W,s__
Otu0942,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Intrasporangiaceae,g__Janibacter,s__
Otu0943,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,unclassified,unclassified,unclassified
Otu0944,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0945,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0946,k__Bacteria,p__TM6,c__SJA-4,o__,f__,g__,s__
Otu0947,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__CandidatusXiphinematobacter,s__
Otu0948,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0949,k__Bacteria,p__Armatimonadetes,c__SJA-176,o__RB046,f__,g__,s__
Otu0950,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu0951,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,unclassified
Otu0952,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Acidobacterium,s__
Otu0953,k__Bacteria,p__OP3,c__BD4-9,o__,f__,g__,s__
Otu0954,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0955,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,unclassified,unclassified
Otu0956,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0957,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__
Otu0958,k__Bacteria,p__Armatimonadetes,c__[Fimbriimonadia],o__[Fimbriimonadales],f__[Fimbriimonadaceae],g__Fimbriimonas,s__
Otu0959,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0960,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Telmatospirillum,s__
Otu0961,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0962,k__Bacteria,p__OP3,c__BD4-9,o__,f__,g__,s__
Otu0963,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0964,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0965,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0966,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Oxalobacter,s__
Otu0967,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0968,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0969,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0970,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0971,k__Bacteria,p__SR1,c__,o__,f__,g__,s__
Otu0972,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0973,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__,g__,s__
Otu0974,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0975,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0976,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__CandidatusSolibacter,s__
Otu0977,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,unclassified,unclassified,unclassified
Otu0978,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__WD2101,f__,g__,s__
Otu0979,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0980,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophaceae,unclassified,unclassified
Otu0981,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0982,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0983,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],unclassified,unclassified,unclassified
Otu0984,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0985,k__Bacteria,p__Actinobacteria,c__Actinobacteria,unclassified,unclassified,unclassified,unclassified
Otu0986,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,unclassified,unclassified,unclassified
Otu0987,k__Bacteria,p__TM6,c__SJA-4,unclassified,unclassified,unclassified,unclassified
Otu0988,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Rhabdochlamydiaceae,g__CandidatusRhabdochlamydia,s__
Otu0989,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0990,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__Rickettsia,s__
Otu0991,k__Bacteria,p__Bacteroidetes,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0992,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0993,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],f__auto67_4W,g__,s__
Otu0994,k__Bacteria,p__TM7,c__SC3,o__,f__,g__,s__
Otu0995,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0996,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0997,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0998,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu0999,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu1000,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__CandidatusRhodoluna,s__
Otu1001,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu1002,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu1003,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu1004,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,unclassified,unclassified,unclassified
Otu1005,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,unclassified,unclassified
Otu1006,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
Otu1007,k__Bacteria,p__Proteobacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu1008,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,unclassified,unclassified,unclassified,unclassified
Otu1009,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu1010,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu1011,k__Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
Otu1012,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Caloramator,s__
Otu1013,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,acI,acI-B,acI-B4
