"","s.1","s.2","s.3","index","stat","p.value"
"k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__.5",0,0,1,3,0.252519642025965,1e-04
"k__Bacteria;p__Actinobacteria;c__Acidimicrobia;o__Acidimicrobiales;acV;acV-A;acV-A2.1",1,1,0,4,0.402343930244147,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-A;Lhab-A2.1",1,0,0,1,0.200640530212882,1e-04
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Desulfomonile;s__.1",0,0,1,3,0.486149300004858,1e-04
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter;s__lovleyi",0,0,1,3,0.53363973669626,1e-04
"k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__heteroC45_4W;s__.8",1,0,0,1,0.128949777737556,1e-04
"k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__;s__.2",0,0,1,3,0.574305838018719,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__.1",0,0,1,3,0.0960334004393113,2e-04
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__debontii",1,1,0,4,0.0745765653151893,0.0187
"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae;g__Bellilinea;s__.7",0,1,0,2,0.342656754109918,1e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1;g__;s__.5",1,0,1,5,0.208916189676395,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__.24",0,1,0,2,0.325899166474893,1e-04
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__;s__.1",0,0,1,3,0.471975751191816,1e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__.5",0,0,1,3,0.380787926930623,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__.27",1,0,1,5,0.130843446407827,1e-04
"k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__.8",0,0,1,3,0.243482946108918,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__.30",0,1,0,2,0.137411679738053,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__;s__.4",0,0,1,3,0.42089270195916,1e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-B;acI-B4.1",1,1,0,4,0.476707119172174,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__;s__.9",0,1,0,2,0.115464098427413,3e-04
"k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__auto67_4W;g__;s__.17",0,1,0,2,0.287665124970424,1e-04
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Luteolibacter;s__.5",0,1,1,6,0.338406271789971,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__.5",0,0,1,3,0.07170882893165,0.0012
"k__Bacteria;p__Actinobacteria;c__Acidimicrobia;o__Acidimicrobiales;acV;acV-A;acV-A1.2",1,0,0,1,0.428711484395563,1e-04
"k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae];g__Fimbriimonas;s__.9",1,0,0,1,0.244272893096156,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Procabacteriales;f__Procabacteriaceae;g__;s__.2",1,0,0,1,0.316322779336559,1e-04
"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__MVS-65;g__;s__.5",0,1,0,2,0.150023250805512,1e-04
"k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__auto67_4W;g__;s__.18",0,1,0,2,0.32998739507076,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-A;bacI-A2.1",1,0,1,5,0.321726959813954,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__.41",1,0,0,1,0.294097079085451,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__.42",1,1,0,4,0.192093461395664,1e-04
"k__Bacteria;p__Actinobacteria;c__Acidimicrobia;o__Acidimicrobiales;acV;acV-A;acV-A1.3",1,1,0,4,0.185082222251886,1e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinobacteria;Luna1;Luna1-A;Luna1-A4",1,0,1,5,0.0674657846515174,0.0367
"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__;s__.9",0,1,0,2,0.248113838579423,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__.44",0,1,0,2,0.39033388420486,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-A;Lhab-A2.2",0,1,1,6,0.0949025910414899,0.0024
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__.46",1,0,1,5,0.15980677265704,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__.49",0,1,0,2,0.163690905507383,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__.53",1,0,0,1,0.147128741092073,1e-04
