,Polymictic,Dimictic,Meromictic,index,IndicatorValue,p.value
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betII;Pnec;PnecC,0,1,0,2,0.289622576,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betII;Pnec;PnecC1,0,1,0,2,0.289622576,1.00E-04
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-B;bacI-B1.1,0,1,0,2,0.284733073,1.00E-04
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae,0,1,0,2,0.280513457,1.00E-04
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfosporosinus;s__meridiei,0,1,0,2,0.277531827,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae],0,1,0,2,0.276850929,1.00E-04
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Sulfurimonas,0,1,0,2,0.275406393,1.00E-04
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae,0,1,0,2,0.274709265,1.00E-04
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales,0,1,0,2,0.273062195,1.00E-04
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,0,1,0,2,0.273062195,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,0,1,0,2,0.270097488,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales,0,1,0,2,0.270097488,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,0,1,0,2,0.270097488,1.00E-04
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae,0,1,0,2,0.268152525,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae,0,1,0,2,0.266148375,1.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales,0,1,0,2,0.26528244,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__auto67_4W,0,1,0,2,0.258402303,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329,0,1,0,2,0.249897463,1.00E-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae,0,1,0,2,0.239836681,1.00E-04
k__Bacteria;p__Spirochaetes;c__[Leptospirae];o__[Leptospirales];f__Sediment-4;g__SJA-88,0,1,0,2,0.224471622,1.00E-04
k__Bacteria;p__Spirochaetes;c__[Leptospirae];o__[Leptospirales];f__Sediment-4,0,1,0,2,0.216452083,1.00E-04
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Fluviicola,0,1,0,2,0.206200488,1.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylocaldum,0,1,0,2,0.203124109,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__WCHB1-41;f__RFP12,0,1,0,2,0.185809405,1.00E-04
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae,0,1,0,2,0.185645206,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Propionivibrio,0,1,0,2,0.182000759,1.00E-04
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales,0,1,0,2,0.181363475,1.00E-04
k__Bacteria;p__Acidobacteria;c__Solibacteres,0,1,0,2,0.181363475,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae,0,1,0,2,0.178318724,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales,0,1,0,2,0.178318724,1.00E-04
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2,0,1,0,2,0.161962898,1.00E-04
k__Bacteria;p__Cyanobacteria;c__4C0d-2,0,1,0,2,0.15674473,1.00E-04
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__CandidatusSolibacter,0,1,0,2,0.153243649,1.00E-04
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae,0,1,0,2,0.151739028,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SBla14,0,1,0,2,0.148904556,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betII;Pnec;PnecD,0,1,0,2,0.145971436,1.00E-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betII;Pnec;PnecD1,0,1,0,2,0.145971436,1.00E-04
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-A;bacI-A2,0,1,0,2,0.136978915,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__[Pedosphaeraceae];g__Pedosphaera,0,1,0,2,0.1124019,2.00E-04
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__[Pedosphaeraceae],0,1,0,2,0.1124019,2.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__veronii,0,1,0,2,0.034961271,0.4866
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__veronii1,0,1,0,2,0.034961271,0.4866
k__Bacteria;p__Planctomycetes,0,0,1,3,0.722156859,1.00E-04
k__Bacteria;p__Planctomycetes;c__Planctomycetia,0,0,1,3,0.701369886,1.00E-04
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae,0,0,1,3,0.645981769,1.00E-04
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales,0,0,1,3,0.645981769,1.00E-04
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales,0,0,1,3,0.623329892,1.00E-04
k__Bacteria;p__Chloroflexi,0,0,1,3,0.617544208,1.00E-04
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales,0,0,1,3,0.583751505,1.00E-04
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae,0,0,1,3,0.574249353,1.00E-04
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Isosphaeraceae,0,0,1,3,0.565188277,1.00E-04
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae,0,0,1,3,0.564194881,1.00E-04
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae,0,0,1,3,0.553563486,1.00E-04
k__Bacteria;p__OP3;c__BD4-9,0,0,1,3,0.552370748,1.00E-04
k__Bacteria;p__OP3,0,0,1,3,0.551190411,1.00E-04
k__Bacteria;p__TM6,0,0,1,3,0.548708058,1.00E-04
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophorhabdaceae,0,0,1,3,0.547237926,1.00E-04
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,0,0,1,3,0.544372324,1.00E-04
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__WCHD3-30,0,0,1,3,0.542954776,1.00E-04
k__Archaea;p__[Parvarchaeota],0,0,1,3,0.542439711,1.00E-04
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea],0,0,1,3,0.54224778,1.00E-04
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__GIF9,0,0,1,3,0.528844964,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acTH2;Myco,0,0,1,3,0.522838836,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acTH2,0,0,1,3,0.522838836,1.00E-04
k__Bacteria;p__Chloroflexi;c__Anaerolineae,0,0,1,3,0.519862708,1.00E-04
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Syntrophus,0,0,1,3,0.514449365,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__WCHB1-81;f__At425_EubF1,0,0,1,3,0.512578902,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__WCHB1-81,0,0,1,3,0.512578902,1.00E-04
k__Bacteria;p__OP3;c__koll11;o__GIF10,0,0,1,3,0.512170312,1.00E-04
k__Bacteria;p__OP3;c__koll11,0,0,1,3,0.510525008,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__Verruco-5,0,0,1,3,0.50372154,1.00E-04
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15,0,0,1,3,0.500854852,1.00E-04
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Desulfomonile,0,0,1,3,0.499767391,1.00E-04
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__GCA004,0,0,1,3,0.497989701,1.00E-04
k__Bacteria;p__OP8;c__OP8_1,0,0,1,3,0.49701488,1.00E-04
k__Bacteria;p__Chlorobi;c__SJA-28,0,0,1,3,0.496982397,1.00E-04
k__Bacteria;p__OP8,0,0,1,3,0.48501589,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__WCHB1-41,0,0,1,3,0.484138178,1.00E-04
k__Bacteria;p__Actinobacteria;c__Thermoleophilia,0,0,1,3,0.478531941,1.00E-04
k__Bacteria;p__TM6;c__SBRH58,0,0,1,3,0.472361974,1.00E-04
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__Anaerovorax,0,0,1,3,0.471975751,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-A;acI-A6,0,0,1,3,0.467190261,1.00E-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-A;acI-A61,0,0,1,3,0.467190261,1.00E-04
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae],0,0,1,3,0.463101975,1.00E-04
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales,0,0,1,3,0.456221337,1.00E-04
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae,0,0,1,3,0.449221692,1.00E-04
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales,0,0,1,3,0.449221692,1.00E-04
k__Bacteria;p__Planctomycetes;c__Phycisphaerae,0,0,1,3,0.442456053,1.00E-04
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema,0,0,1,3,0.439911287,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Luteolibacter,0,0,1,3,0.43924108,1.00E-04
k__Bacteria;p__TM6;c__SJA-4,0,0,1,3,0.438797766,1.00E-04
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales,0,0,1,3,0.433089404,1.00E-04
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae];o__Methylacidiphilales,0,0,1,3,0.432290012,1.00E-04
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales,0,0,1,3,0.431732728,1.00E-04
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,0,0,1,3,0.428661059,1.00E-04
k__Bacteria;p__Bacteroidetes;c__Bacteroidia,0,0,1,3,0.428661059,1.00E-04
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales;f__Dehalococcoidaceae,0,0,1,3,0.425201587,1.00E-04
k__Bacteria;p__WS1,0,0,1,3,0.423069987,1.00E-04
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter,0,0,1,3,0.418062113,1.00E-04
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae,0,0,1,3,0.418062113,1.00E-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae,0,0,1,3,0.414872815,1.00E-04
k__Bacteria;p__WS5,0,0,1,3,0.404586885,1.00E-04
