"","s.1","s.2","s.3","index","stat","p.value"
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Aquitalea",1,0,0,1,0.0626706471061858,0.0818
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;alfI;alfI-B",1,0,1,5,0.375392222313588,1e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-A",1,0,1,5,0.380585862574966,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-B",0,1,1,6,0.267056464425901,1e-04
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Syntrophus",0,0,1,3,0.514449365367525,1e-04
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Paludibacter",0,1,1,6,0.263360319687878,1e-04
"k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__heteroC45_4W",1,1,0,4,0.124584507157125,1e-04
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;gamII;gamII-A",1,0,0,1,0.196016184320184,1e-04
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium",0,0,1,3,0.352711160056724,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas",0,0,1,3,0.0937048655686384,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Telmatospirillum",1,1,0,4,0.318238574032136,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-A",1,0,0,1,0.419373745241043,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;alfV;alfV-A",0,1,1,6,0.0836489433596909,0.0137
"k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta",1,0,0,1,0.164774027617926,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betII;Pnec",1,1,0,4,0.298729427219979,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes",0,1,1,6,0.254225564128457,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium",0,0,1,3,0.145336073270609,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betVII;betVII-B",0,0,1,3,0.153287153866856,1e-04
