lakeid,year4,daynum,sampledate,depth,rep,sta,event,ph,phair,alk,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,no3no2_sloh,nh4_sloh,kjdl_n_sloh,totpuf_sloh,drp_sloh,drsif_sloh,flagdepth,flagph,flagphair,flagalk,flagdic,flagtic,flagdoc,flagtoc,flagno3no2,flagno2,flagnh4,flagtotnf,flagtotnuf,flagtotpf,flagtotpuf,flagdrsif,flagbrsif,flagbrsiuf,flagtpm,flagno3no2_sloh,flagnh4_sloh,flagkjdl_n_sloh,flagtotpuf_sloh,flagdrp_sloh,flagdrsif_sloh
"CB",2008,141,2008-05-20,1.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,141,2008-05-20,1.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,141,2008-05-20,1.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,141,2008-05-20,2.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,157,2008-06-05,0.00,1,1,"Chem",5.18,5.20,,0.67,0.55,10.94,11.37,6,,1,562,641,4,23,73,,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,157,2008-06-05,0.25,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,157,2008-06-05,0.50,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,157,2008-06-05,0.75,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,157,2008-06-05,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,157,2008-06-05,1.25,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,157,2008-06-05,1.50,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,157,2008-06-05,2.00,1,1,"Chem",4.71,4.89,,6.63,6.25,16.54,16.85,7,,64,731,977,16,38,427,,,6.84,,,,,,,,,,,,,,,,,"L",,,,,"L",,,"L",,,,,,
"CB",2008,157,2008-06-05,2.00,2,1,"Chem",4.69,4.91,,6.85,5.90,16.96,16.19,4,,85,735,959,15,38,492,,,3.33,,,,,,,,,,,,,,,,,"L",,,,,"L",,,"L",,,,,,
"CB",2008,172,2008-06-20,0.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,172,2008-06-20,1.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,172,2008-06-20,1.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,172,2008-06-20,1.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,172,2008-06-20,1.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,172,2008-06-20,2.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,172,2008-06-20,2.00,2,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,184,2008-07-02,0.00,1,1,"Chem",5.12,5.67,,1.95,1.98,12.03,11.54,2,,0,599,727,26,31,241,,,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,184,2008-07-02,0.50,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,184,2008-07-02,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,184,2008-07-02,1.25,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,184,2008-07-02,1.50,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,184,2008-07-02,1.75,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,184,2008-07-02,2.00,1,1,"Chem",4.79,5.47,,7.81,8.97,15.70,16.37,7,,55,693,642,34,49,778,,,5.77,,,,,,,,,"L",,,,,,"L",,"L","L",,,,,,,,,,,,,
"CB",2008,184,2008-07-02,2.00,2,1,"Chem",4.78,5.10,,7.02,8.62,14.36,16.28,2,,0,885,644,38,49,883,,,6.88,,,,,,,,,"L",,,,,,"L",,"L","L",,,,,,,,,,,,,
"CB",2008,199,2008-07-17,0.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,199,2008-07-17,0.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,199,2008-07-17,0.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,199,2008-07-17,0.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,199,2008-07-17,1.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,199,2008-07-17,1.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,199,2008-07-17,1.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,199,2008-07-17,1.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,199,2008-07-17,2.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,199,2008-07-17,2.00,2,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,211,2008-07-29,0.00,1,1,"Chem",5.21,5.22,,0.65,0.85,11.40,11.28,14,,434,592,675,12,21,81,,,2.00,,,,,,,,,,,,,,,"L",,"LN",,,,"L",,,,"L",,,,,,
"CB",2008,211,2008-07-29,0.00,2,1,"Chem",5.18,5.21,,0.79,1.01,11.96,11.90,9,,43,523,605,11,25,80,,,3.33,,,,,,,,,,,,,,,"L",,"LN",,,,"L",,,,"L",,,,,,
"CB",2008,211,2008-07-29,0.25,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,211,2008-07-29,0.50,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,211,2008-07-29,0.75,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,211,2008-07-29,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,211,2008-07-29,1.25,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,211,2008-07-29,1.50,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,211,2008-07-29,1.75,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,211,2008-07-29,2.00,1,1,"Chem",4.79,5.03,,5.20,7.25,12.54,14.02,5,,251,956,1015,28,53,1055,,,8.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,228,2008-08-15,0.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,228,2008-08-15,0.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,228,2008-08-15,0.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,228,2008-08-15,0.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,228,2008-08-15,1.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,228,2008-08-15,1.00,2,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,228,2008-08-15,1.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,228,2008-08-15,1.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,228,2008-08-15,1.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,228,2008-08-15,2.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,228,2008-08-15,2.00,2,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,240,2008-08-27,0.00,1,1,"Quarterly",5.12,5.30,12,1.17,1.66,11.82,11.49,3,,0,504,601,9,14,17,,,1.69,,,,,,,,,,"J",,,,,,,,"L",,,,"L",,,"L",,,,,,
"CB",2008,240,2008-08-27,0.00,2,1,"Quarterly",5.06,5.30,39,1.25,1.80,11.84,12.06,3,,0,273,567,8,15,32,,,1.18,,,,,,,,,,,,,,,,,,"L",,,,"L",,,"L",,,,,,
"CB",2008,240,2008-08-27,0.25,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,240,2008-08-27,0.50,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,240,2008-08-27,0.75,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,240,2008-08-27,1.00,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,240,2008-08-27,1.25,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,240,2008-08-27,1.50,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,240,2008-08-27,1.75,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,240,2008-08-27,2.00,1,1,"Quarterly",4.77,5.26,298,8.32,11.30,12.91,13.97,3,,0,2086,4780,100,264,1398,,,16.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,253,2008-09-09,0.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,253,2008-09-09,0.00,2,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,253,2008-09-09,0.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,253,2008-09-09,0.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,253,2008-09-09,0.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,253,2008-09-09,1.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,253,2008-09-09,1.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,253,2008-09-09,1.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,253,2008-09-09,1.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,253,2008-09-09,2.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,269,2008-09-25,0.00,1,1,"Chem",5.26,5.38,,0.48,1.27,11.28,10.79,8,,12,539,590,7,27,15,,,2.29,,,,,,,,,,,,,,,"L",,,,"E",,"EL","L",,,"L",,,,,,
"CB",2008,269,2008-09-25,0.00,2,1,"Chem",5.32,5.38,,0.52,1.10,10.89,11.14,35,,10,499,632,7,33,0,,,2.96,,,,,,,,,,,,,,,"L",,,,,,"L","LE",,,"L",,,,,,
"CB",2008,269,2008-09-25,0.25,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,269,2008-09-25,0.50,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,269,2008-09-25,0.75,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,269,2008-09-25,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,269,2008-09-25,1.25,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,269,2008-09-25,1.50,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,269,2008-09-25,1.75,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,269,2008-09-25,2.00,1,1,"Chem",4.95,5.36,,4.36,4.95,11.40,15.08,7,,4,534,413,7,10,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I",,,,,,
"CB",2008,281,2008-10-07,0.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,281,2008-10-07,0.00,2,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,281,2008-10-07,0.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,281,2008-10-07,0.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,281,2008-10-07,0.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,281,2008-10-07,1.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,281,2008-10-07,1.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,281,2008-10-07,1.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,281,2008-10-07,1.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,281,2008-10-07,2.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,296,2008-10-22,0.00,1,1,"Chem",5.25,5.42,,1.15,1.82,11.36,11.08,6,,0,496,576,14,24,52,,,1.76,,,,,,,,,,,,,,,,,,,,,,"L",,,"L",,,,,,
"CB",2008,296,2008-10-22,0.00,2,1,"Chem",5.22,5.40,,1.33,1.63,11.37,11.20,8,,0,489,572,13,20,22,,,2.26,,,,,,,,,,,,,,,,,,,,,,"L",,,"L",,,,,,
"CB",2008,296,2008-10-22,0.25,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,296,2008-10-22,0.50,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,296,2008-10-22,0.75,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,296,2008-10-22,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,296,2008-10-22,1.25,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,296,2008-10-22,1.50,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,296,2008-10-22,1.75,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,296,2008-10-22,2.00,1,1,"Chem",5.21,5.44,,1.23,1.81,11.67,11.13,6,,0,485,610,12,28,28,,,1.86,,,,,,,,,,,,,,,"E",,"E",,,,,,,,,,,,,,
"CB",2008,311,2008-11-06,0.00,1,1,"Quarterly",5.27,5.50,15,0.74,1.38,11.15,10.90,50,,51,527,718,9,26,90,,,3.55,,,,,,,,,"L","L",,,,,"L",,"L",,,,,"L",,,"L",,,,,,
"CB",2008,311,2008-11-06,0.00,2,1,"Quarterly",5.27,5.38,49,0.73,1.33,11.35,11.40,10,,0,516,736,7,25,65,,,1.84,,,,,,,,,"L","L",,,,,"L",,"L",,,,,"L",,,"L",,,,,,
"CB",2008,311,2008-11-06,0.25,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,311,2008-11-06,0.50,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,311,2008-11-06,0.75,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,311,2008-11-06,1.00,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,311,2008-11-06,1.25,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,311,2008-11-06,1.50,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,311,2008-11-06,1.75,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2008,311,2008-11-06,2.00,1,1,"Quarterly",5.11,5.62,3,1.16,1.41,11.54,11.35,7,,19,513,562,7,12,,,,2.65,,,,,,,,,,,,,,,,,,,,,,"D",,,,,,,,,
"CB",2009,22,2009-01-22,0.00,1,1,"Chem",5.18,5.70,,3.85,3.97,14.70,14.49,25,,245,,,,,,,,,,,,,,,,,,,,,,,,,,"D","D","D","D",,,,,,,,,,
"CB",2009,22,2009-01-22,0.00,2,1,"Chem",5.16,5.72,,,3.85,,14.58,26,,247,,,,,,,,,,,,,,,,,,,,,,,,,,"D","D","D","D",,,,,,,,,,
"CB",2009,22,2009-01-22,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,22,2009-01-22,2.00,1,1,"Chem",5.42,6.37,,5.43,6.02,12.95,12.92,28,,409,,,,,,,,,,,,,,,,,,,,,,,,,,"D","D","D","D",,,,,,,,,,
"CB",2009,48,2009-02-17,0.00,1,1,"Quarterly",5.05,5.57,42,4.03,4.44,13.74,13.52,15,,234,828,831,14,25,369,,,,,,,,,,,,,,,,,,,,,"E",,"E",,,,,,,,,,,
"CB",2009,48,2009-02-17,0.50,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,48,2009-02-17,0.75,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,48,2009-02-17,1.00,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,48,2009-02-17,1.25,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,48,2009-02-17,1.50,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,48,2009-02-17,1.75,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,48,2009-02-17,2.00,1,1,"Quarterly",5.49,6.45,118,6.49,7.48,12.38,12.18,10,,473,846,1123,9,48,1003,,,,,,,,,,,,,,,,,,,,,,,,,"E",,,,,,,,,
"CB",2009,48,2009-02-17,2.00,2,1,"Quarterly",5.49,6.50,89,6.70,7.39,11.86,11.71,7,,482,1060,1153,16,40,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,77,2009-03-18,0.00,1,1,"Chem",5.05,5.76,,4.71,5.33,14.41,14.66,32,,263,892,1001,15,40,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,77,2009-03-18,0.50,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,77,2009-03-18,0.75,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,77,2009-03-18,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,77,2009-03-18,1.00,2,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,77,2009-03-18,1.25,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,77,2009-03-18,1.50,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,77,2009-03-18,1.75,1,1,"Chem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,77,2009-03-18,2.00,1,1,"Chem",5.46,6.75,,7.00,8.17,12.54,12.49,12,,588,1141,1237,5,58,1215,,,,,,,,,,,,,,,,,,"E",,"E","E",,"E",,,,,,,,,,,
"CB",2009,77,2009-03-18,2.00,2,1,"Chem",5.47,6.80,,6.83,8.09,12.38,12.74,20,,532,1243,1428,32,71,1354,,,,,,,,,,,,,,,,,,"E",,"E","E",,"E",,,,,,,,,,,
"CB",2009,117,2009-04-27,0.00,1,1,"Quarterly",5.31,5.73,71,0.93,1.48,11.13,11.33,41,,117,543,706,15,29,28,,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,"L",,,,,,
"CB",2009,117,2009-04-27,0.00,2,1,"Quarterly",5.30,5.68,43,1.06,1.44,11.09,11.19,40,,119,524,695,13,30,28,,,2.86,,,,,,,,,,,,,,,,,,,,,,,,,"L",,,,,,
"CB",2009,117,2009-04-27,0.25,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,117,2009-04-27,0.50,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,117,2009-04-27,0.75,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,117,2009-04-27,1.00,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,117,2009-04-27,1.25,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,117,2009-04-27,1.50,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,117,2009-04-27,1.75,1,1,"Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,117,2009-04-27,2.00,1,1,"Quarterly",5.11,5.85,43,5.84,6.67,15.24,14.69,43,,397,847,969,16,39,683,,,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,132,2009-05-12,0.00,1,1,"Non-chem",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,132,2009-05-12,0.25,1,1,"Non-chem",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,132,2009-05-12,0.50,1,1,"Non-chem",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,132,2009-05-12,0.75,1,1,"Non-chem",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,132,2009-05-12,1.00,1,1,"Non-chem",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,132,2009-05-12,1.00,2,1,"Non-chem",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CB",2009,132,2009-05-12,1.25,1,1,"Non-chem",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
