YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2008-01-03,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.058,1,0.044,1,0.269,51,0.16,0
2008-01-03,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.058,1,0.044,1,0.266,51,0.16,0
2008-01-03,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.058,1,0.044,1,0.264,51,0.16,0
2008-01-03,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.044,1,0.261,51,0.16,0
2008-01-03,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.044,1,0.259,51,0.16,0
2008-01-03,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,3,0.058,1,0.044,1,0.256,51,0.16,0
2008-01-04,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.058,1,0.044,1,0.254,2,0.16,0
2008-01-04,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.058,1,0.044,1,0.255,51,0.16,0
2008-01-04,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,3,0.058,1,0.044,1,0.256,51,0.16,0
2008-01-04,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.044,1,0.257,51,0.16,0
2008-01-04,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.044,1,0.259,51,0.16,0
2008-01-04,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.058,1,0.044,1,0.260,51,0.16,0
2008-01-04,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.058,1,0.044,1,0.261,51,0.16,0
2008-01-04,8:00,88.9,124.7,8,413,2,1,9,61,1,21,1,1,9,2,24,73,27,1,24,2,10,73,16,1,10,-9900,99,-9900,99,-9900,99,0.9,51,0.058,1,0.039,1,0.262,51,0.16,0
2008-01-04,9:00,83.9,131.9,150,1415,82,0,9,453,0,21,34,0,9,72,24,480,27,22,24,72,10,480,16,22,10,-9900,99,-9900,99,-9900,99,0.9,3,0.058,1,0.039,1,0.263,51,0.16,0
2008-01-04,10:00,77.0,144.0,318,1415,216,0,9,725,0,21,53,0,9,192,24,708,27,33,24,192,10,708,16,33,10,-9900,99,-9900,99,-9900,99,0.9,51,0.058,1,0.039,1,0.264,51,0.16,0
2008-01-04,11:00,71.9,157.3,439,1415,315,0,9,820,0,21,61,0,9,289,24,804,27,40,24,289,10,804,16,40,10,-9900,99,-9900,99,-9900,99,1.0,51,0.058,1,0.039,1,0.265,51,0.16,0
2008-01-04,12:00,69.2,171.7,503,1415,369,0,9,858,0,21,64,0,9,343,24,842,27,44,24,343,10,842,16,44,10,-9900,99,-9900,99,-9900,99,1.0,3,0.058,1,0.039,1,0.266,51,0.16,0
2008-01-04,13:00,69.0,186.5,507,1415,372,0,9,566,0,21,169,0,9,346,24,844,27,44,24,346,10,844,16,44,10,-9900,99,-9900,99,-9900,99,1.0,51,0.058,1,0.039,1,0.267,51,0.16,0
2008-01-04,14:00,71.4,200.9,450,1415,320,1,9,515,1,21,156,1,9,298,24,811,27,40,24,298,10,811,16,40,10,-9900,99,-9900,99,-9900,99,1.0,51,0.058,1,0.039,1,0.269,51,0.16,0
2008-01-04,15:00,76.3,214.4,336,1415,231,0,9,464,0,21,121,0,9,206,24,725,27,34,24,206,10,725,16,34,10,-9900,99,-9900,99,-9900,99,1.0,3,0.058,1,0.039,1,0.270,51,0.16,0
2008-01-04,16:00,82.9,226.7,174,1415,105,0,9,542,0,21,38,0,9,87,24,521,27,24,24,87,10,521,16,24,10,-9900,99,-9900,99,-9900,99,0.9,51,0.058,1,0.039,1,0.271,51,0.16,0
2008-01-04,17:00,88.4,234.7,17,601,5,1,9,106,1,21,2,1,9,6,24,109,27,2,24,6,10,109,16,2,10,-9900,99,-9900,99,-9900,99,0.9,51,0.058,1,0.039,1,0.272,51,0.16,0
2008-01-04,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.058,1,0.039,1,0.273,51,0.16,0
2008-01-04,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.058,1,0.039,1,0.274,51,0.16,0
2008-01-04,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.058,1,0.039,1,0.275,51,0.16,0
2008-01-04,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.058,1,0.039,1,0.277,51,0.16,0
2008-01-04,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.058,1,0.039,1,0.278,51,0.16,0
2008-01-04,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.058,1,0.039,1,0.279,51,0.16,0
2008-01-04,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.058,1,0.039,1,0.280,51,0.16,0
